Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;"RT @shababaty: Los NarcoTerroristas del #ELN financian la campaña de sus pared los NarcoCorreistas y su pelele #AndresArauz 

Asi lo confir…";Sat Jan 30 22:20:29 +0000 2021;20;9;Quito, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:20:53 +0000 2021;123;132;;
Andrés Arauz;#ArauzPresidente #mariposon;Sat Jan 30 22:20:56 +0000 2021;0;0;Quito, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:21:46 +0000 2021;124;132;;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 22:22:05 +0000 2021;273;514;;
Andrés Arauz;"RT @KinttoLucas: En La Lucha de los Pobres, junto a los jóvenes pintamos el país que soñamos... 
#QuitoEs1 
#TodoTodito1 
#ArauzPresidente…";Sat Jan 30 22:22:07 +0000 2021;4;10;;
Andrés Arauz;Terrible lo que ocurre en Ecuador el @cnegobec pone en Riesgo la legalidad de la Elección del 7 de Febrero… https://t.co/7GwFJ6wuuJ;Sat Jan 30 22:22:18 +0000 2021;0;0;Guadalajara, Jalisco;
Andrés Arauz;"RT @JVentycinco: Arauz Coca Cola #CopaLibertadores Fidel Martínez

Hoy es domingo 7 de febrero del 2021 elecciones presidenciales en Ecuado…";Sat Jan 30 23:35:45 +0000 2021;2;2;ecuador;
Andrés Arauz;"RT @GabuPsychic: ¡A 9 días de las elecciones!
Espero que Arauz gane en una sola vuelta para q Carlos Vera se largue del Ecuador, para que G…";Sat Jan 30 23:35:46 +0000 2021;689;1856;;
Andrés Arauz;"RT @ALBERTOACOSTAB: DESESPERACIÓN Y PEORES PRÁCTICAS...

#ARAUZ compra votos a $250 por nuca.

DEBE ESTAR SEGURO QUE “RECUPERARÁ” LA INVERS…";Sat Jan 30 23:35:47 +0000 2021;41;66;;
Andrés Arauz;RT @karennunezr: Arauz viene a robar. Así de claro. No te va a dar mil dólares, fin. Mediten su voto, ¿qué trabajo vas a tener si las empre…;Sat Jan 30 23:35:48 +0000 2021;346;756;Guayaquil;
Andrés Arauz;RT @DianaAzul95: Junto a Pierina Correa recorrimos Lomas de la Florida, SVivienda 1,2,3. En el gobierno de #Arauz se retomará la política d…;Sat Jan 30 23:35:49 +0000 2021;22;30;Guayaquil;
Andrés Arauz;"Vota por Andrés Arauz para que Carlos Vera se vaya del país.

No encuentro mejor razón para unirnos todos los ecuatorianos.";Sat Jan 30 23:35:50 +0000 2021;0;0;El Oro, Ecuador;
Andrés Arauz;RT @farithsimon: Art. 204.- Los sujetos políticos que aspiren o participen en una elección popular u opciones de democracia directa, no pod…;Sat Jan 30 23:35:51 +0000 2021;21;27;El Oro, Ecuador;
Andrés Arauz;La OEA y la OMS son enemigos del pueblo latinoamericano.;Sat Jan 30 23:35:51 +0000 2021;0;0;El Oro, Ecuador;
Andrés Arauz;RT @eluniversocom: Revista Semana sostiene que existirían archivos del ELN que señalan aporte de campaña a candidato presidencial Andrés Ar…;Sat Jan 30 23:35:52 +0000 2021;122;214;El Oro, Ecuador;
Andrés Arauz;RT @eluniversocom: Revista Semana sostiene que existirían archivos del ELN que señalan aporte de campaña a candidato presidencial Andrés Ar…;Sat Jan 30 23:35:55 +0000 2021;397;563;El Oro, Ecuador;
Andrés Arauz;"RT @petrogustavo: Ojo @Almagro_OEA2015 con permitir un golpe de estado en Ecuador.

El gobierno ecuatoriano quiere suspender elecciones ant…";Sat Jan 30 23:35:56 +0000 2021;836;1902;El Oro, Ecuador;
Andrés Arauz;RT @4pelagatos4: Pronto será público un informe de Contraloría que estremecerá a  Arauz y su campaña. ¿Recuerda el lío del Festival de las…;Sat Jan 30 23:35:58 +0000 2021;246;385;El Oro, Ecuador;
Andrés Arauz;"RT @CARLOSFMEJIA: ""Petro defiende al candidato de Ecuador, @ecuarauz, mencionado en los archivos del narcoterrorista del ELN alias 'Uriel'""…";Sat Jan 30 23:36:00 +0000 2021;239;302;El Oro, Ecuador;
Andrés Arauz;RT @Aortizlemos: Los vínculos entre la guerrilla colombiana y el correismo ya son completamente conocidos. El aunicio de la revista semana…;Sat Jan 30 23:36:03 +0000 2021;274;483;El Oro, Ecuador;
